account_number,owner_id,bank_name,account_type,open_date,balance_inr
1001001061,PER00045,Kotak Mahindra Bank,Savings,2017-05-29,50112
1001001062,PER00046,Kotak Mahindra Bank,Savings,2018-10-04,144806
1001001063,PER00046,SBI,Savings,2019-04-14,52197
1001001064,PER00047,ICICI Bank,Savings,2024-02-05,215974
1001001065,PER00047,ICICI Bank,Savings,2016-09-11,260506
1001001066,PER00048,ICICI Bank,Savings,2021-04-24,183053
1001001067,PER00048,HDFC Bank,Savings,2017-03-24,149287
1001001068,PER00049,Kotak Mahindra Bank,Savings,2017-11-28,212846
1001001069,PER00050,Kotak Mahindra Bank,Savings,2022-08-10,204968
1001001070,PER00050,HDFC Bank,Savings,2011-09-09,204753
1001001071,PER00051,Kotak Mahindra Bank,Savings,2012-09-12,61062
1001001072,PER00051,SBI,Savings,2021-06-15,139275
1001001073,PER00052,Kotak Mahindra Bank,Savings,2013-12-23,320019
1001001074,PER00053,SBI,Savings,2011-06-21,151243
1001001075,PER00054,SBI,Savings,2013-08-10,156908
1001001076,PER00054,SBI,Savings,2013-01-06,65691
1001001077,PER00055,Kotak Mahindra Bank,Savings,2022-06-06,248575
1001001078,PER00056,HDFC Bank,Savings,2015-06-16,121581
1001001079,PER00057,ICICI Bank,Savings,2017-12-15,83255
1001001080,PER00057,Axis Bank,Savings,2022-04-22,153514
1001001081,PER00058,SBI,Savings,2019-11-08,216360
1001001082,PER00059,HDFC Bank,Savings,2017-01-09,100337
1001001083,PER00059,ICICI Bank,Savings,2012-12-21,110192
1001001084,PER00060,SBI,Savings,2011-12-28,137644
1001001085,PER00061,Kotak Mahindra Bank,Savings,2018-04-28,248897
1001001086,PER00061,SBI,Savings,2011-03-22,80161
1001001087,PER00062,ICICI Bank,Savings,2021-01-01,19008
1001001088,PER00062,HDFC Bank,Savings,2016-11-25,173108
1001001089,PER00063,SBI,Savings,2022-10-30,416052
1001001090,PER00063,ICICI Bank,Savings,2010-09-12,270467
1001001091,PER00064,Kotak Mahindra Bank,Savings,2022-02-19,26415
1001001092,PER00064,ICICI Bank,Savings,2025-02-09,134018
1001001093,PER00065,Kotak Mahindra Bank,Savings,2022-04-03,212197
1001001094,PER00066,HDFC Bank,Savings,2014-03-01,0
1001001095,PER00067,Kotak Mahindra Bank,Savings,2012-06-22,86982
1001001096,PER00067,HDFC Bank,Savings,2015-10-04,170027
1001001097,PER00068,Kotak Mahindra Bank,Savings,2013-05-31,107744
1001001098,PER00068,Axis Bank,Savings,2020-04-09,62481
1001001099,PER00069,Axis Bank,Savings,2015-07-27,111382
1001001100,PER00070,HDFC Bank,Savings,2024-03-30,0
1001001101,PER00071,HDFC Bank,Savings,2020-06-30,275117
1001001102,PER00072,Kotak Mahindra Bank,Savings,2024-01-12,83702
1001001103,PER00073,HDFC Bank,Savings,2022-01-22,571717
1001001104,PER00073,Axis Bank,Savings,2018-11-13,334773
1001001105,PER00074,Axis Bank,Savings,2017-07-30,149813
1001001106,PER00075,ICICI Bank,Savings,2021-09-29,0
1001001107,PER00075,HDFC Bank,Savings,2025-08-21,0
1001001108,PER00076,SBI,Savings,2018-09-08,103570
1001001109,PER00077,Axis Bank,Savings,2025-07-27,134759
1001001110,PER00078,Kotak Mahindra Bank,Savings,2011-02-25,83590
1001001111,PER00079,Axis Bank,Savings,2017-09-06,143152
1001001112,PER00080,SBI,Savings,2014-04-24,344991
1001001113,PER00080,ICICI Bank,Savings,2018-02-24,117924
1001001114,PER00081,ICICI Bank,Savings,2022-03-25,210922
1001001115,PER00082,HDFC Bank,Savings,2012-01-16,213669
1001001116,PER00083,SBI,Savings,2013-02-09,167908
1001001117,PER00083,ICICI Bank,Savings,2024-05-15,32035
1001001118,PER00084,Kotak Mahindra Bank,Savings,2012-08-27,130675
1001001119,PER00085,ICICI Bank,Savings,2015-10-22,145134
1001001120,PER00086,Kotak Mahindra Bank,Savings,2015-12-23,158701
1001001121,PER00086,Axis Bank,Savings,2012-04-17,73960
1001001122,PER00087,HDFC Bank,Savings,2018-03-16,37912
1001001123,PER00088,HDFC Bank,Savings,2012-02-23,25855
1001001124,PER00088,HDFC Bank,Savings,2020-04-10,223339
1001001125,PER00089,ICICI Bank,Savings,2022-07-20,541522
1001001126,PER00090,Kotak Mahindra Bank,Savings,2017-10-13,67583
1001001127,PER00090,ICICI Bank,Savings,2010-09-22,35139
1001001128,PER00091,HDFC Bank,Savings,2021-12-08,35924
1001001129,PER00091,SBI,Savings,2016-03-02,206278
1001001130,PER00092,Kotak Mahindra Bank,Savings,2018-03-27,163658
1001001131,PER00092,Kotak Mahindra Bank,Savings,2014-06-03,126130
1001001132,PER00093,Kotak Mahindra Bank,Savings,2014-10-31,323355
1001001133,PER00093,Axis Bank,Savings,2010-11-24,35039
1001001134,PER00094,Axis Bank,Savings,2020-12-29,0
1001001135,PER00095,ICICI Bank,Savings,2021-08-02,135581
1001001136,PER00096,Kotak Mahindra Bank,Savings,2012-02-08,245346
1001001137,PER00096,SBI,Savings,2023-05-04,201298
1001001138,PER00097,ICICI Bank,Savings,2012-11-03,115102
1001001139,PER00098,HDFC Bank,Savings,2017-03-14,799297
1001001140,PER00098,Kotak Mahindra Bank,Savings,2023-12-13,769223
1001001141,PER00099,HDFC Bank,Savings,2013-12-02,207589
1001001142,PER00099,ICICI Bank,Savings,2022-03-12,152804
1001001143,PER00100,ICICI Bank,Savings,2024-12-02,121339
1001001144,PER00101,HDFC Bank,Savings,2023-05-03,158712
1001001145,PER00101,HDFC Bank,Savings,2020-04-06,213534
1001001146,PER00102,Kotak Mahindra Bank,Savings,2016-11-22,286424
1001001147,PER00103,SBI,Savings,2015-07-12,92538
1001001148,PER00103,Axis Bank,Savings,2018-06-03,47474
1001001149,PER00104,SBI,Savings,2017-07-24,108322
1001001150,PER00104,ICICI Bank,Savings,2016-05-26,70293
1001001151,PER00105,SBI,Savings,2022-04-02,162283
1001001152,PER00106,Kotak Mahindra Bank,Savings,2017-10-05,205284
1001001153,PER00106,SBI,Savings,2025-03-05,96557
1001001154,PER00107,HDFC Bank,Savings,2019-11-19,103464
1001001155,PER00108,SBI,Savings,2012-05-25,0
1001001156,PER00108,Axis Bank,Savings,2014-10-14,0
1001001157,PER00109,Kotak Mahindra Bank,Savings,2018-01-05,51629
1001001158,PER00109,Kotak Mahindra Bank,Savings,2025-02-13,171424
1001001159,PER00110,Kotak Mahindra Bank,Savings,2014-04-23,75554
1001001160,PER00111,HDFC Bank,Savings,2018-05-05,65023
1001001161,PER00111,SBI,Savings,2025-01-19,123985
1001001162,PER00112,HDFC Bank,Savings,2023-08-19,51523
1001001163,PER00113,SBI,Savings,2013-02-03,68146
1001001164,PER00114,Axis Bank,Savings,2011-12-09,0
1001001165,PER00114,HDFC Bank,Savings,2023-07-05,0
1001001166,PER00115,ICICI Bank,Savings,2012-02-05,536050
1001001167,PER00115,SBI,Savings,2016-10-05,388163
1001001168,PER00116,Kotak Mahindra Bank,Savings,2022-03-21,111596
1001001169,PER00117,ICICI Bank,Savings,2015-12-31,153149
1001001170,PER00117,Kotak Mahindra Bank,Savings,2022-07-20,362619
1001001171,PER00118,Kotak Mahindra Bank,Savings,2015-05-26,74762
1001001172,PER00118,HDFC Bank,Savings,2019-06-05,80350
1001001173,PER00119,SBI,Savings,2016-07-19,57413
1001001174,PER00120,Axis Bank,Savings,2024-11-23,50777
1001001175,PER00121,Kotak Mahindra Bank,Savings,2023-03-25,158355
1001001176,PER00121,ICICI Bank,Savings,2016-09-08,109471
1001001177,PER00122,Axis Bank,Savings,2015-09-25,362475
1001001178,PER00122,Axis Bank,Savings,2021-07-20,295489
1001001179,PER00123,HDFC Bank,Savings,2015-06-20,157640
1001001180,PER00123,ICICI Bank,Savings,2011-07-08,121726
1001001181,PER00124,Kotak Mahindra Bank,Savings,2012-01-07,83933
1001001182,PER00125,HDFC Bank,Savings,2011-12-02,206459
1001001183,PER00125,HDFC Bank,Savings,2011-12-29,124657
1001001184,PER00126,SBI,Savings,2017-08-04,141674
1001001185,PER00126,Axis Bank,Savings,2011-06-06,49922
1001001186,PER00127,Kotak Mahindra Bank,Savings,2016-01-04,501016
1001001187,PER00128,ICICI Bank,Savings,2018-11-12,96671
1001001188,PER00128,SBI,Savings,2021-03-10,89417
1001001189,PER00129,Kotak Mahindra Bank,Savings,2014-05-19,161257
1001001190,PER00130,ICICI Bank,Savings,2022-12-10,81395
1001001191,PER00131,HDFC Bank,Savings,2013-05-25,126953
1001001192,PER00131,HDFC Bank,Savings,2014-01-31,164346
1001001193,PER00132,Axis Bank,Savings,2014-01-16,229698
1001001194,PER00132,HDFC Bank,Savings,2012-01-28,39215
1001001195,PER00133,Kotak Mahindra Bank,Savings,2012-03-15,216288
1001001196,PER00134,ICICI Bank,Savings,2016-11-23,309001
1001001197,PER00135,HDFC Bank,Savings,2012-10-17,83850
1001001198,PER00135,Kotak Mahindra Bank,Savings,2017-12-22,104333
1001001199,PER00136,SBI,Savings,2016-09-06,146628
1001001200,PER00137,HDFC Bank,Savings,2015-07-06,399150
1001001201,PER00137,SBI,Savings,2022-02-04,175635
1001001202,PER00138,Axis Bank,Savings,2017-06-12,653693
1001001203,PER00138,Axis Bank,Savings,2023-07-06,854097
1001001204,PER00139,SBI,Savings,2023-09-29,209864
1001001205,PER00139,HDFC Bank,Savings,2019-04-15,102764
1001001206,PER00140,Kotak Mahindra Bank,Savings,2015-11-14,45442
1001001207,PER00141,SBI,Savings,2019-03-23,285806
1001001208,PER00141,ICICI Bank,Savings,2019-12-06,317259
1001001209,PER00142,Axis Bank,Savings,2017-09-05,180203
1001001210,PER00143,HDFC Bank,Savings,2014-08-22,51405
1001001211,PER00143,ICICI Bank,Savings,2022-07-29,109573
1001001212,PER00144,ICICI Bank,Savings,2012-05-26,216503
1001001213,PER00145,Axis Bank,Savings,2012-07-17,48253
1001001214,PER00145,SBI,Savings,2018-01-19,193242
1001001215,PER00146,Kotak Mahindra Bank,Savings,2023-06-15,140618
1001001216,PER00146,SBI,Savings,2015-10-27,101226
1001001217,PER00147,HDFC Bank,Savings,2019-06-05,324725
1001001218,PER00148,Axis Bank,Savings,2015-02-03,71083
1001001219,PER00148,Axis Bank,Savings,2012-03-01,56207
1001001220,PER00149,Axis Bank,Savings,2016-06-30,122397
1001001221,PER00149,HDFC Bank,Savings,2019-10-08,52675
1001001222,PER00150,Axis Bank,Savings,2010-10-10,78071
1001001223,PER00151,Kotak Mahindra Bank,Savings,2014-05-31,202221
1001001224,PER00151,ICICI Bank,Savings,2017-04-17,113094
1001001225,PER00152,ICICI Bank,Savings,2012-09-26,91151
1001001226,PER00153,Axis Bank,Savings,2019-04-07,84805
1001001227,PER00153,ICICI Bank,Savings,2015-12-19,225494
1001001228,PER00154,Kotak Mahindra Bank,Savings,2012-05-05,136905
1001001229,PER00155,SBI,Savings,2018-09-23,224131
1001001230,PER00156,Axis Bank,Savings,2018-06-17,184643
1001001231,PER00157,SBI,Savings,2024-02-02,270931
1001001232,PER00157,Kotak Mahindra Bank,Savings,2020-09-17,537066
1001001233,PER00158,ICICI Bank,Savings,2023-09-02,121743
1001001234,PER00159,SBI,Savings,2025-06-23,119158
1001001235,PER00159,HDFC Bank,Savings,2022-11-28,38384
1001001236,PER00160,ICICI Bank,Savings,2025-05-19,147848
1001001237,PER00160,Axis Bank,Savings,2012-07-05,35348
1001001238,PER00161,Axis Bank,Savings,2017-06-07,103151
1001001239,PER00162,Kotak Mahindra Bank,Savings,2017-04-29,57424
1001001240,PER00162,Kotak Mahindra Bank,Savings,2011-03-04,222611
1001001241,PER00163,Axis Bank,Savings,2023-01-17,114758
1001001242,PER00163,HDFC Bank,Savings,2012-11-02,124646
1001001243,PER00164,Axis Bank,Savings,2021-09-19,0
1001001244,PER00164,HDFC Bank,Savings,2015-06-16,0
1001001245,PER00165,Axis Bank,Savings,2024-05-16,171727
1001001246,PER00165,ICICI Bank,Savings,2013-07-11,173180
1001001247,PER00166,SBI,Savings,2021-05-26,19315
1001001248,PER00167,Kotak Mahindra Bank,Savings,2021-12-27,124932
1001001249,PER00168,Kotak Mahindra Bank,Savings,2022-09-25,283284
1001001250,PER00168,HDFC Bank,Savings,2021-04-06,237152
1001001251,PER00169,Kotak Mahindra Bank,Savings,2012-11-19,0
1001001252,PER00169,HDFC Bank,Savings,2022-09-16,0
1001001253,PER00170,SBI,Savings,2013-01-01,0
1001001254,PER00171,ICICI Bank,Savings,2025-06-24,71533
1001001255,PER00172,HDFC Bank,Savings,2025-01-09,117093
1001001256,PER00173,ICICI Bank,Savings,2015-08-17,111153
1001001257,PER00173,Axis Bank,Savings,2023-05-12,179896
1001001258,PER00174,Kotak Mahindra Bank,Savings,2016-04-06,77953
1001001259,PER00175,SBI,Savings,2013-05-04,120759
1001001260,PER00175,Axis Bank,Savings,2022-11-21,775563
1001001261,PER00176,ICICI Bank,Savings,2016-04-11,0
1001001262,PER00177,HDFC Bank,Savings,2023-10-22,98547
1001001263,PER00178,HDFC Bank,Savings,2024-02-02,73849
1001001264,PER00179,Kotak Mahindra Bank,Savings,2025-01-25,122550
1001001265,PER00180,Axis Bank,Savings,2015-09-26,161090
1001001266,PER00181,SBI,Savings,2012-12-21,44332
1001001267,PER00181,SBI,Savings,2013-04-03,95094
1001001268,PER00182,HDFC Bank,Savings,2011-10-16,155442
1001001269,PER00183,Axis Bank,Savings,2024-07-05,197718
1001001270,PER00183,Kotak Mahindra Bank,Savings,2025-04-03,214531
1001001271,PER00184,HDFC Bank,Savings,2015-09-14,26192
1001001272,PER00185,SBI,Savings,2014-08-19,150986
1001001273,PER00186,HDFC Bank,Savings,2024-08-18,83981
1001001274,PER00186,Axis Bank,Savings,2024-04-23,172987
1001001275,PER00187,Kotak Mahindra Bank,Savings,2023-08-24,0
1001001276,PER00188,Kotak Mahindra Bank,Savings,2025-06-17,44905
1001001277,PER00189,Kotak Mahindra Bank,Savings,2011-06-21,0
1001001278,PER00190,ICICI Bank,Savings,2015-05-10,51826
1001001279,PER00190,ICICI Bank,Savings,2022-05-10,106629
1001001280,PER00191,Axis Bank,Savings,2022-09-15,94506
1001001281,PER00192,Axis Bank,Savings,2017-11-16,378682
1001001282,PER00193,SBI,Savings,2021-03-05,174653
1001001283,PER00194,HDFC Bank,Savings,2021-02-09,275093
1001001284,PER00195,SBI,Savings,2017-10-24,115496
1001001285,PER00195,SBI,Savings,2020-07-22,42986
1001001286,PER00196,HDFC Bank,Savings,2023-06-24,0
1001001287,PER00197,SBI,Savings,2021-03-28,106918
1001001288,PER00197,Kotak Mahindra Bank,Savings,2019-08-10,177245
1001001289,PER00198,Kotak Mahindra Bank,Savings,2022-09-08,109686
1001001290,PER00199,SBI,Savings,2023-01-07,236154
1001001291,PER00199,ICICI Bank,Savings,2019-02-06,150720
1001001292,PER00200,SBI,Savings,2014-10-08,112248
1001001293,PER00200,SBI,Savings,2023-10-29,29684
1001001294,PER00201,Axis Bank,Savings,2023-07-13,177902
1001001295,PER00201,Axis Bank,Savings,2017-09-29,127567
1001001296,PER00202,HDFC Bank,Savings,2011-10-22,236033
1001001297,PER00203,HDFC Bank,Savings,2019-01-23,214946
1001001298,PER00204,HDFC Bank,Savings,2017-06-25,232874
1001001299,PER00205,SBI,Savings,2011-11-12,582863
1001001300,PER00205,Axis Bank,Savings,2016-03-10,382171
1001001301,PER00206,Axis Bank,Savings,2016-08-30,307177
1001001302,PER00207,ICICI Bank,Savings,2016-08-23,161612
1001001303,PER00208,Kotak Mahindra Bank,Savings,2018-01-07,179587
1001001304,PER00209,Axis Bank,Savings,2012-11-11,228451
1001001305,PER00210,Axis Bank,Savings,2011-09-27,89379
1001001306,PER00210,Axis Bank,Savings,2016-01-12,228652
1001001307,PER00211,SBI,Savings,2014-12-29,0
1001001308,PER00211,ICICI Bank,Savings,2016-06-25,0
1001001309,PER00212,Axis Bank,Savings,2015-01-29,185142
1001001310,PER00212,Axis Bank,Savings,2024-11-03,154819
1001001311,PER00213,ICICI Bank,Savings,2019-03-31,215622
1001001312,PER00214,HDFC Bank,Savings,2014-09-17,253352
1001001313,PER00215,Kotak Mahindra Bank,Savings,2012-04-17,103452
1001001314,PER00215,SBI,Savings,2020-09-02,103719
1001001315,PER00216,SBI,Savings,2019-03-23,65737
1001001316,PER00216,Kotak Mahindra Bank,Savings,2016-02-03,81832
1001001317,PER00217,SBI,Savings,2014-07-15,230696
1001001318,PER00217,SBI,Savings,2021-09-12,230588
1001001319,PER00218,SBI,Savings,2020-07-18,43974
1001001320,PER00218,HDFC Bank,Savings,2025-08-18,61782
1001001321,PER00219,SBI,Savings,2021-11-01,101644
1001001322,PER00220,Kotak Mahindra Bank,Savings,2023-08-18,115135
1001001323,PER00220,ICICI Bank,Savings,2011-09-10,25600
1001001324,PER00221,ICICI Bank,Savings,2017-02-20,116371
1001001325,PER00222,SBI,Savings,2015-07-09,58482
1001001326,PER00223,ICICI Bank,Savings,2022-08-15,58680
1001001327,PER00223,ICICI Bank,Savings,2013-12-26,37507
1001001328,PER00224,ICICI Bank,Savings,2013-08-20,685808
1001001329,PER00224,HDFC Bank,Savings,2016-01-09,249980
1001001330,PER00225,Axis Bank,Savings,2018-06-23,60543
1001001331,PER00226,HDFC Bank,Savings,2012-07-10,145560
1001001332,PER00226,Axis Bank,Savings,2020-04-29,169045
1001001333,PER00227,Kotak Mahindra Bank,Savings,2022-05-10,63176
1001001334,PER00228,Axis Bank,Savings,2022-10-25,0
1001001335,PER00228,Kotak Mahindra Bank,Savings,2011-12-07,0
1001001336,PER00229,HDFC Bank,Savings,2020-02-18,0
1001001337,PER00230,ICICI Bank,Savings,2021-06-21,571132
1001001338,PER00231,ICICI Bank,Savings,2017-08-01,94969
1001001339,PER00232,SBI,Savings,2015-11-09,0
1001001340,PER00232,Axis Bank,Savings,2011-01-14,0
1001001341,PER00233,ICICI Bank,Savings,2017-06-20,42441
1001001342,PER00233,SBI,Savings,2020-02-10,163028
1001001343,PER00234,Axis Bank,Savings,2022-06-29,214320
1001001344,PER00234,SBI,Savings,2016-02-19,153868
1001001345,PER00235,Axis Bank,Savings,2014-10-01,956712
1001001346,PER00235,HDFC Bank,Savings,2020-08-23,301347
1001001347,PER00236,ICICI Bank,Savings,2018-02-27,116488
1001001348,PER00236,Axis Bank,Savings,2010-11-02,115920
1001001349,PER00237,Kotak Mahindra Bank,Savings,2013-10-31,172390
1001001350,PER00237,ICICI Bank,Savings,2012-07-28,106525
1001001351,PER00238,ICICI Bank,Savings,2014-04-25,145581
1001001352,PER00239,HDFC Bank,Savings,2024-07-29,863142
1001001353,PER00239,Kotak Mahindra Bank,Savings,2024-09-16,593289
1001001354,PER00240,ICICI Bank,Savings,2015-04-18,276990
1001001355,PER00240,SBI,Savings,2011-05-18,245903
1001001356,PER00241,SBI,Savings,2015-01-27,202878
1001001357,PER00241,ICICI Bank,Savings,2021-12-06,215734
1001001358,PER00242,ICICI Bank,Savings,2023-09-16,38172
1001001359,PER00243,SBI,Savings,2013-01-12,67791
1001001360,PER00243,ICICI Bank,Savings,2012-08-12,137937
1001001361,PER00244,SBI,Savings,2022-09-08,76174
1001001362,PER00244,Axis Bank,Savings,2015-05-19,79502
1001001363,PER00245,Kotak Mahindra Bank,Savings,2020-09-01,202801
1001001364,PER00245,Axis Bank,Savings,2020-01-07,112255
1001001365,PER00246,HDFC Bank,Savings,2015-10-13,176418
1001001366,PER00247,ICICI Bank,Savings,2014-03-17,140805
1001001367,PER00247,SBI,Savings,2020-04-15,131419
1001001368,PER00248,Axis Bank,Savings,2011-06-20,171389
1001001369,PER00249,HDFC Bank,Savings,2016-10-28,208879
1001001370,PER00250,SBI,Savings,2024-02-09,321156
1001001371,PER00250,ICICI Bank,Savings,2022-09-15,217597
1001001372,PER00251,Kotak Mahindra Bank,Savings,2025-06-27,86920
1001001373,PER00252,SBI,Savings,2022-07-10,922831
1001001374,PER00253,SBI,Savings,2019-01-15,321092
1001001375,PER00254,Kotak Mahindra Bank,Savings,2024-05-20,126504
1001001376,PER00255,Axis Bank,Savings,2011-07-18,0
1001001377,PER00256,SBI,Savings,2010-09-20,71311
1001001378,PER00256,ICICI Bank,Savings,2011-08-08,55371
1001001379,PER00257,HDFC Bank,Savings,2022-01-12,312989
1001001380,PER00258,ICICI Bank,Savings,2018-09-06,50485
1001001381,PER00259,Kotak Mahindra Bank,Savings,2015-12-26,88673
1001001382,PER00259,ICICI Bank,Savings,2013-02-22,238262
1001001383,PER00260,HDFC Bank,Savings,2014-11-17,163768
1001001384,PER00261,HDFC Bank,Savings,2019-04-10,135389
1001001385,PER00262,Kotak Mahindra Bank,Savings,2018-04-07,227037
1001001386,PER00263,SBI,Savings,2013-05-08,117571
1001001387,PER00264,ICICI Bank,Savings,2010-10-26,130830
1001001388,PER00264,SBI,Savings,2011-11-26,69644
1001001389,PER00265,ICICI Bank,Savings,2012-09-15,75065
1001001390,PER00266,Axis Bank,Savings,2013-04-28,127712
1001001391,PER00266,ICICI Bank,Savings,2016-02-19,64871
1001001392,PER00267,ICICI Bank,Savings,2012-07-29,83174
1001001393,PER00267,ICICI Bank,Savings,2014-05-26,135924
1001001394,PER00268,Axis Bank,Savings,2018-01-18,104932
1001001395,PER00268,Kotak Mahindra Bank,Savings,2019-07-16,217088
1001001396,PER00269,Axis Bank,Savings,2018-01-14,59625
1001001397,PER00269,HDFC Bank,Savings,2022-07-24,68423
1001001398,PER00270,ICICI Bank,Savings,2025-01-27,36557
1001001399,PER00271,ICICI Bank,Savings,2022-07-22,203175
1001001400,PER00271,HDFC Bank,Savings,2024-08-02,91172
1001001401,PER00272,ICICI Bank,Savings,2020-05-04,145578
1001001402,PER00273,ICICI Bank,Savings,2020-10-25,87413
1001001403,PER00274,Axis Bank,Savings,2022-02-23,72445
1001001404,PER00275,Axis Bank,Savings,2023-10-04,67022
1001001405,PER00276,SBI,Savings,2017-04-09,243971
1001001406,PER00277,ICICI Bank,Savings,2025-06-09,41644
1001001407,PER00277,SBI,Savings,2025-01-13,153392
1001001408,PER00278,Kotak Mahindra Bank,Savings,2014-10-19,122330
1001001409,PER00278,HDFC Bank,Savings,2019-07-31,46311
1001001410,PER00279,ICICI Bank,Savings,2019-06-18,210660
1001001411,PER00280,HDFC Bank,Savings,2020-01-19,198075
1001001412,PER00281,HDFC Bank,Savings,2015-12-01,119392
1001001413,PER00281,HDFC Bank,Savings,2020-08-12,159427
1001001414,PER00282,Axis Bank,Savings,2022-08-15,0
1001001415,PER00283,SBI,Savings,2024-06-28,878980
1001001416,PER00284,Axis Bank,Savings,2011-08-05,73766
1001001417,PER00284,Kotak Mahindra Bank,Savings,2016-08-04,123374
1001001418,PER00285,Kotak Mahindra Bank,Savings,2024-02-24,120324
1001001419,PER00285,SBI,Savings,2014-04-30,98088
1001001420,PER00286,Kotak Mahindra Bank,Savings,2011-11-26,136857
1001001421,PER00287,ICICI Bank,Savings,2025-03-09,134324
1001001422,PER00287,Kotak Mahindra Bank,Savings,2023-10-27,157733
1001001423,PER00288,HDFC Bank,Savings,2018-02-01,167825
1001001424,PER00288,HDFC Bank,Savings,2018-03-26,324452
1001001425,PER00289,ICICI Bank,Savings,2019-01-26,325699
1001001426,PER00290,HDFC Bank,Savings,2018-09-28,0
1001001427,PER00290,Axis Bank,Savings,2024-01-29,0
1001001428,PER00291,ICICI Bank,Savings,2017-07-10,111234
1001001429,PER00291,ICICI Bank,Savings,2022-11-18,149127
1001001430,PER00292,HDFC Bank,Savings,2021-09-23,268204
1001001431,PER00293,Axis Bank,Savings,2020-06-22,56981
1001001432,PER00293,Axis Bank,Savings,2023-11-10,212755
1001001433,PER00294,ICICI Bank,Savings,2013-10-24,227161
1001001434,PER00295,ICICI Bank,Savings,2024-11-08,217713
1001001435,PER00295,Axis Bank,Savings,2024-12-24,533122
1001001436,PER00296,ICICI Bank,Savings,2025-04-03,202421
