transaction_id,from_account,to_account,amount_inr,timestamp,payment_mode,remarks
TXN0000030,1001002353,1001002436,494,2024-05-06 04:00:34,IMPS,Transaction
TXN0000031,1001002572,1001002892,565,2025-03-06 13:28:42,IMPS,Transaction
TXN0000032,1001001188,1001001515,8468,2024-12-30 07:29:49,IMPS,Transaction
TXN0000033,1001002840,1001001478,27319,2023-09-11 03:50:13,RTGS,Transaction
TXN0000034,1001001112,1001002311,433,2024-03-05 10:37:39,IMPS,Transaction
TXN0000035,1001001968,1001001851,1627,2023-09-29 11:23:42,NEFT,Transaction
TXN0000036,1001001709,1001002856,824,2024-11-19 18:30:08,NEFT,Transaction
TXN0000037,1001001492,1001001373,3743,2024-02-16 12:37:44,IMPS,Transaction
TXN0000038,1001002100,1001001973,4574,2024-02-26 02:45:44,NEFT,Transaction
TXN0000039,1001001261,1001002898,23468,2023-09-27 07:35:36,NEFT,Transaction
TXN0000040,1001001781,1001001968,458,2023-11-17 16:55:07,NEFT,Transaction
TXN0000041,1001002585,1001001024,2518,2024-11-05 15:32:40,UPI,Transaction
TXN0000042,1001001384,1001001636,346,2025-07-17 05:46:13,IMPS,Transaction
TXN0000043,1001002235,1001001231,9022,2025-04-10 10:55:10,UPI,Transaction
TXN0000044,1001002898,1001001505,3416,2023-12-27 01:34:58,NEFT,Transaction
TXN0000045,1001002358,1001001035,417,2024-09-11 03:55:11,IMPS,Transaction
TXN0000046,1001001877,1001001532,11644,2025-08-15 17:36:30,IMPS,Transaction
TXN0000047,1001002358,1001002699,713,2024-01-21 04:32:23,IMPS,Transaction
TXN0000048,1001002623,1001002672,12652,2024-06-10 10:10:03,IMPS,Transaction
TXN0000049,1001002600,1001001781,454,2025-07-01 11:59:06,NEFT,Transaction
TXN0000050,1001002016,1001001836,669,2024-08-04 11:59:26,IMPS,Transaction
TXN0000051,1001002198,1001002617,9810,2025-04-19 03:24:53,IMPS,Transaction
TXN0000052,1001002899,1001001274,906,2024-08-26 21:04:23,UPI,Transaction
TXN0000053,1001001618,1001002596,367,2025-02-01 22:38:08,RTGS,Transaction
TXN0000054,1001001130,1001001235,270,2024-12-22 20:50:57,UPI,Transaction
TXN0000055,1001001823,1001002472,527,2023-09-06 09:14:21,NEFT,Transaction
TXN0000056,1001001918,1001002709,974,2024-05-05 01:38:48,RTGS,Transaction
TXN0000057,1001001288,1001001373,831,2024-10-28 16:26:21,IMPS,Transaction
TXN0000058,1001002295,1001002226,6850,2023-12-19 09:58:09,IMPS,Transaction
TXN0000059,1001002705,1001002189,818,2023-09-05 17:13:55,IMPS,Transaction
TXN0000060,1001002574,1001002617,6613,2025-06-17 17:16:59,UPI,Transaction
TXN0000061,1001001394,1001002502,12721,2025-01-27 17:30:43,RTGS,Transaction
TXN0000062,1001001800,1001001371,20699,2024-09-08 20:13:56,NEFT,Transaction
TXN0000063,1001002508,1001002083,12859,2025-01-09 09:19:14,NEFT,Transaction
TXN0000064,1001002895,1001001304,766,2025-06-29 23:59:55,NEFT,Transaction
TXN0000065,1001001218,1001002392,395,2023-11-28 21:45:29,NEFT,Transaction
TXN0000066,1001001480,1001002585,8988,2025-07-21 13:43:08,UPI,Transaction
TXN0000067,1001001116,1001001833,595,2025-08-15 12:46:07,NEFT,Transaction
TXN0000068,1001002718,1001002188,3029,2025-08-03 17:23:03,RTGS,Transaction
TXN0000069,1001001287,1001001032,22707,2023-12-13 18:14:12,UPI,Transaction
TXN0000070,1001002128,1001002143,539,2025-07-09 03:44:16,IMPS,Transaction
TXN0000071,1001002740,1001001641,25404,2023-10-04 22:23:40,NEFT,Transaction
TXN0000072,1001002582,1001002166,458,2025-01-29 23:08:28,NEFT,Transaction
TXN0000073,1001001357,1001001311,6861,2024-08-31 05:08:16,IMPS,Transaction
TXN0000074,1001002105,1001001207,328,2025-05-16 12:47:47,RTGS,Transaction
TXN0000075,1001001857,1001001047,821,2024-11-14 15:52:43,UPI,Transaction
TXN0000076,1001002077,1001001805,905,2024-02-26 18:33:57,NEFT,Transaction
TXN0000077,1001002858,1001001611,5761,2025-08-15 01:59:20,UPI,Transaction
TXN0000078,1001001858,1001001322,4072,2024-12-20 01:47:21,UPI,Transaction
TXN0000079,1001001350,1001001800,31993,2025-05-10 22:36:48,IMPS,Transaction
TXN0000080,1001001876,1001001608,571,2024-09-23 10:29:32,IMPS,Transaction
TXN0000081,1001001871,1001002004,464,2023-11-28 17:08:39,IMPS,Transaction
TXN0000082,1001002217,1001001284,7360,2023-12-24 20:16:21,RTGS,Transaction
TXN0000083,1001001741,1001002273,267,2024-10-26 12:00:12,NEFT,Transaction
TXN0000084,1001002022,1001002478,321,2023-12-17 14:36:48,RTGS,Transaction
TXN0000085,1001002342,1001002010,43210,2023-11-10 11:56:42,RTGS,Transaction
TXN0000086,1001001387,1001001580,3323,2024-09-19 03:34:16,NEFT,Transaction
TXN0000087,1001002022,1001001650,29425,2023-12-12 16:48:35,NEFT,Transaction
TXN0000088,1001002775,1001001779,5783,2024-05-10 22:06:46,RTGS,Transaction
TXN0000089,1001002006,1001001634,586,2025-08-18 06:29:13,IMPS,Transaction
TXN0000090,1001002000,1001002820,5800,2025-05-23 18:19:41,NEFT,Transaction
TXN0000091,1001002198,1001001099,434,2025-04-25 18:08:18,RTGS,Transaction
TXN0000092,1001001027,1001002618,9336,2025-06-12 10:02:13,RTGS,Transaction
TXN0000093,1001002679,1001001957,443,2024-06-10 06:43:20,IMPS,Transaction
TXN0000094,1001001684,1001002101,43341,2024-11-22 23:02:53,IMPS,Transaction
TXN0000095,1001002781,1001001698,130,2024-01-25 13:50:14,RTGS,Transaction
TXN0000096,1001001158,1001002807,627,2025-04-05 18:42:37,IMPS,Transaction
TXN0000097,1001001712,1001001328,21878,2023-10-19 03:25:50,IMPS,Transaction
TXN0000098,1001002807,1001002440,12291,2023-09-12 02:41:27,UPI,Transaction
TXN0000099,1001002458,1001002587,803,2024-04-05 14:58:57,RTGS,Transaction
TXN0000100,1001002048,1001002784,427,2024-12-24 06:34:02,UPI,Transaction
TXN0000101,1001001555,1001002611,395,2023-09-22 10:01:56,NEFT,Transaction
TXN0000102,1001001056,1001001206,24814,2025-01-01 07:41:14,NEFT,Transaction
TXN0000103,1001001203,1001002549,1062,2025-05-22 11:05:26,RTGS,Transaction
TXN0000104,1001002210,1001002674,32926,2024-12-18 03:10:29,RTGS,Transaction
TXN0000105,1001002877,1001001767,597,2025-08-25 19:15:13,NEFT,Transaction
TXN0000106,1001002815,1001002651,2720,2024-10-07 06:03:20,IMPS,Transaction
TXN0000107,1001002455,1001001368,540,2025-08-22 22:38:19,IMPS,Transaction
TXN0000108,1001001055,1001001589,200,2024-11-13 22:26:27,NEFT,Transaction
TXN0000109,1001002073,1001002089,7417,2024-05-08 23:55:34,IMPS,Transaction
TXN0000110,1001002575,1001002578,502,2025-07-17 06:45:26,IMPS,Transaction
TXN0000111,1001001303,1001001777,837,2024-02-12 13:47:07,NEFT,Transaction
TXN0000112,1001002695,1001002367,7953,2023-12-17 03:02:06,IMPS,Transaction
TXN0000113,1001002761,1001001447,3800,2024-07-23 07:26:20,NEFT,Transaction
TXN0000114,1001002548,1001002022,838,2024-08-09 09:42:35,NEFT,Transaction
TXN0000115,1001001139,1001001329,3021,2025-03-27 16:44:10,UPI,Transaction
TXN0000116,1001001120,1001001413,4522,2025-05-06 13:10:25,UPI,Transaction
TXN0000117,1001002305,1001002130,863,2024-01-22 07:30:13,IMPS,Transaction
TXN0000118,1001001282,1001001084,13639,2024-04-19 14:27:59,UPI,Transaction
TXN0000119,1001002728,1001001135,20277,2024-01-30 16:38:34,UPI,Transaction
TXN0000120,1001001310,1001001187,557,2024-08-03 19:38:57,UPI,Transaction
TXN0000121,1001001947,1001001706,990,2024-09-14 16:36:24,IMPS,Transaction
TXN0000122,1001001701,1001002699,27546,2024-05-16 19:52:30,NEFT,Transaction
TXN0000123,1001001557,1001001861,4533,2024-07-19 11:59:31,NEFT,Transaction
TXN0000124,1001001726,1001002320,2333,2024-02-24 16:17:45,IMPS,Transaction
TXN0000125,1001002347,1001002872,276,2023-12-30 07:15:41,RTGS,Transaction
TXN0000126,1001002636,1001002252,3867,2024-09-15 04:55:05,RTGS,Transaction
TXN0000127,1001002461,1001002862,3791,2025-08-11 17:24:30,NEFT,Transaction
TXN0000128,1001001775,1001002244,5634,2024-03-23 21:53:37,UPI,Transaction
TXN0000129,1001001018,1001002142,313,2024-01-29 07:30:01,UPI,Transaction
TXN0000130,1001002574,1001001761,967,2025-07-29 15:43:50,RTGS,Transaction
TXN0000131,1001001557,1001002670,8717,2025-04-08 09:01:10,RTGS,Transaction
TXN0000132,1001001063,1001001631,39428,2024-11-26 01:25:13,RTGS,Transaction
TXN0000133,1001002395,1001001425,6148,2024-09-18 12:38:17,NEFT,Transaction
TXN0000134,1001002143,1001001479,6451,2024-04-15 00:21:57,IMPS,Transaction
TXN0000135,1001001974,1001002284,4650,2023-11-20 07:20:21,IMPS,Transaction
TXN0000136,1001002886,1001001922,781,2024-04-21 19:51:03,IMPS,Transaction
TXN0000137,1001002384,1001002069,8215,2024-07-27 02:48:09,IMPS,Transaction
TXN0000138,1001001854,1001002703,2033,2024-06-13 04:20:22,RTGS,Transaction
TXN0000139,1001002523,1001001894,536,2024-07-22 07:37:08,UPI,Transaction
TXN0000140,1001002093,1001002220,932,2024-12-09 20:36:46,NEFT,Transaction
TXN0000141,1001002563,1001001444,43461,2025-08-04 03:05:04,RTGS,Transaction
TXN0000142,1001001808,1001002078,4122,2024-07-16 20:22:36,UPI,Transaction
TXN0000143,1001002604,1001002336,8577,2025-05-18 16:35:40,IMPS,Transaction
TXN0000144,1001001337,1001001025,31191,2024-03-07 04:20:40,UPI,Transaction
TXN0000145,1001002532,1001001139,1468,2025-03-19 13:29:27,IMPS,Transaction
TXN0000146,1001002572,1001002295,9995,2024-05-13 21:03:43,UPI,Transaction
TXN0000147,1001002025,1001001367,7945,2024-09-20 13:05:52,RTGS,Transaction
TXN0000148,1001002123,1001001500,5748,2024-11-13 21:49:12,IMPS,Transaction
TXN0000149,1001001742,1001002640,115,2024-05-04 00:48:27,RTGS,Transaction
TXN0000150,1001002432,1001001923,247,2023-10-25 14:59:32,UPI,Transaction
TXN0000151,1001002083,1001002557,26905,2024-12-10 00:16:32,NEFT,Transaction
TXN0000152,1001002095,1001002629,251,2024-11-08 20:23:19,NEFT,Transaction
TXN0000153,1001002045,1001002820,867,2024-04-23 08:51:23,NEFT,Transaction
TXN0000154,1001001552,1001002364,605,2024-12-26 03:17:09,IMPS,Transaction
TXN0000155,1001001445,1001001475,5271,2024-08-29 19:36:30,RTGS,Transaction
TXN0000156,1001001135,1001001202,24023,2025-07-29 07:34:43,RTGS,Transaction
TXN0000157,1001001091,1001001802,655,2024-04-06 07:57:35,IMPS,Transaction
TXN0000158,1001001332,1001002302,7688,2023-10-06 10:40:32,IMPS,Transaction
TXN0000159,1001001518,1001001632,8920,2023-11-10 05:42:55,NEFT,Transaction
TXN0000160,1001002762,1001001732,2750,2024-04-08 04:47:41,RTGS,Transaction
TXN0000161,1001001594,1001001494,272,2024-12-06 22:42:02,UPI,Transaction
TXN0000162,1001002254,1001002078,1398,2024-06-12 20:48:52,RTGS,Transaction
TXN0000163,1001001896,1001001782,35549,2025-06-21 17:58:20,UPI,Transaction
TXN0000164,1001001824,1001001372,5660,2024-04-12 22:08:39,NEFT,Transaction
TXN0000165,1001002523,1001002893,1545,2024-04-29 12:02:16,UPI,Transaction
TXN0000166,1001002206,1001002039,25413,2025-06-01 01:46:11,UPI,Transaction
TXN0000167,1001001053,1001001578,34444,2024-01-02 05:15:38,IMPS,Transaction
TXN0000168,1001002019,1001001814,467,2024-08-25 08:10:09,UPI,Transaction
TXN0000169,1001001650,1001002087,9609,2025-04-11 00:53:53,IMPS,Transaction
TXN0000170,1001001668,1001001670,9712,2023-12-16 18:53:51,RTGS,Transaction
TXN0000171,1001001505,1001001957,2524,2024-01-29 07:18:56,IMPS,Transaction
TXN0000172,1001002009,1001002858,9252,2023-11-16 00:50:36,RTGS,Transaction
TXN0000173,1001001862,1001001585,5112,2023-10-17 02:33:03,IMPS,Transaction
TXN0000174,1001002747,1001001688,6167,2023-12-15 05:29:43,RTGS,Transaction
TXN0000175,1001001234,1001001692,446,2024-06-26 17:02:08,UPI,Transaction
TXN0000176,1001002178,1001001259,280,2024-05-29 12:56:00,NEFT,Transaction
TXN0000177,1001001116,1001001057,40171,2025-02-15 16:26:52,RTGS,Transaction
TXN0000178,1001001381,1001001376,14777,2024-10-15 22:17:09,RTGS,Transaction
TXN0000179,1001002438,1001002793,411,2024-11-10 20:55:20,IMPS,Transaction
TXN0000180,1001001846,1001002080,754,2025-07-29 20:43:38,IMPS,Transaction
TXN0000181,1001002882,1001001803,278,2024-12-09 02:21:16,IMPS,Transaction
TXN0000182,1001001579,1001001453,18757,2023-10-07 13:47:34,IMPS,Transaction
TXN0000183,1001002554,1001002773,486,2025-06-14 06:48:30,NEFT,Transaction
TXN0000184,1001001652,1001002756,1268,2025-01-04 05:07:02,RTGS,Transaction
TXN0000185,1001001820,1001001982,373,2024-08-10 17:52:15,NEFT,Transaction
TXN0000186,1001001853,1001002753,3415,2024-12-25 05:49:26,UPI,Transaction
TXN0000187,1001002605,1001002756,630,2025-03-31 02:34:01,UPI,Transaction
TXN0000188,1001002097,1001002689,22662,2025-05-08 00:36:19,NEFT,Transaction
TXN0000189,1001001112,1001001411,428,2025-05-14 14:15:54,IMPS,Transaction
TXN0000190,1001001571,1001001480,6827,2025-02-21 00:54:17,UPI,Transaction
TXN0000191,1001001574,1001001387,4836,2025-03-02 08:45:18,UPI,Transaction
TXN0000192,1001001590,1001002268,19204,2024-12-26 20:09:05,UPI,Transaction
TXN0000193,1001002558,1001001393,127,2023-10-04 10:32:47,NEFT,Transaction
TXN0000194,1001001727,1001002627,5518,2023-10-15 21:19:05,IMPS,Transaction
TXN0000195,1001001963,1001001086,3556,2025-04-09 02:03:42,RTGS,Transaction
TXN0000196,1001002236,1001002360,6760,2025-01-18 01:34:03,RTGS,Transaction
TXN0000197,1001002398,1001002906,23221,2024-03-18 00:13:03,UPI,Transaction
TXN0000198,1001002736,1001001123,331,2024-04-12 10:18:28,RTGS,Transaction
TXN0000199,1001001561,1001002721,30149,2024-04-18 18:16:23,IMPS,Transaction
TXN0000200,1001001910,1001002016,8778,2025-03-17 23:14:19,NEFT,Transaction
TXN0000201,1001001882,1001002687,7431,2023-09-03 10:20:20,RTGS,Transaction
TXN0000202,1001002656,1001001550,777,2024-12-15 00:50:52,NEFT,Transaction
TXN0000203,1001002230,1001001894,223,2023-12-06 13:32:07,UPI,Transaction
TXN0000204,1001001759,1001001321,2991,2024-06-08 15:40:36,RTGS,Transaction
TXN0000205,1001001550,1001002151,4606,2025-01-01 08:04:06,UPI,Transaction
TXN0000206,1001002778,1001002537,42468,2024-11-03 22:30:33,IMPS,Transaction
TXN0000207,1001002826,1001001923,655,2025-03-20 14:31:47,IMPS,Transaction
TXN0000208,1001001925,1001002293,4983,2025-02-18 20:38:59,NEFT,Transaction
TXN0000209,1001002105,1001002108,9897,2024-09-18 01:38:58,RTGS,Transaction
TXN0000210,1001002502,1001001087,341,2025-04-12 06:17:00,UPI,Transaction
TXN0000211,1001002494,1001002842,4388,2023-09-16 04:22:31,UPI,Transaction
TXN0000212,1001002761,1001001665,695,2025-07-17 20:50:46,IMPS,Transaction
TXN0000213,1001002184,1001001442,8318,2024-09-11 08:55:31,RTGS,Transaction
TXN0000214,1001001646,1001002198,659,2025-08-23 14:22:43,RTGS,Transaction
TXN0000215,1001001037,1001002140,667,2025-03-11 18:23:05,RTGS,Transaction
TXN0000216,1001001734,1001001068,2166,2024-02-24 14:13:25,NEFT,Transaction
TXN0000217,1001002603,1001001538,1624,2025-05-12 16:36:44,IMPS,Transaction
TXN0000218,1001002359,1001002725,7693,2024-12-20 18:37:20,NEFT,Transaction
TXN0000219,1001002757,1001002504,363,2023-10-20 18:05:50,RTGS,Transaction
TXN0000220,1001001661,1001001838,14199,2025-02-28 08:25:03,NEFT,Transaction
TXN0000221,1001001990,1001001462,1198,2024-09-02 01:45:49,RTGS,Transaction
TXN0000222,1001002229,1001002809,15478,2025-05-11 13:28:34,NEFT,Transaction
TXN0000223,1001002863,1001001620,6376,2023-11-26 06:24:07,IMPS,Transaction
TXN0000224,1001001073,1001001899,446,2024-02-26 23:02:30,RTGS,Transaction
TXN0000225,1001002770,1001001877,975,2024-09-29 06:27:17,RTGS,Transaction
TXN0000226,1001001376,1001001933,5045,2025-01-30 17:55:23,UPI,Transaction
TXN0000227,1001002255,1001002170,179,2025-07-22 23:57:25,RTGS,Transaction
TXN0000228,1001002526,1001001927,21504,2024-09-04 23:28:11,NEFT,Transaction
TXN0000229,1001001353,1001001702,4865,2024-01-03 07:45:22,IMPS,Transaction
TXN0000230,1001001286,1001002004,635,2025-06-06 08:56:26,NEFT,Transaction
TXN0000231,1001002678,1001002199,8425,2024-03-06 17:13:11,NEFT,Transaction
TXN0000232,1001001945,1001001504,8773,2024-05-30 04:37:02,NEFT,Transaction
TXN0000233,1001002462,1001002832,10565,2024-12-31 06:03:25,NEFT,Transaction
TXN0000234,1001002051,1001002568,14949,2024-06-17 15:39:35,RTGS,Transaction
TXN0000235,1001001522,1001001941,34752,2025-05-29 19:10:33,IMPS,Transaction
TXN0000236,1001002868,1001001866,28674,2024-12-14 01:47:31,NEFT,Transaction
TXN0000237,1001001366,1001001978,32083,2025-02-09 03:42:32,IMPS,Transaction
TXN0000238,1001001710,1001002250,506,2025-02-17 16:04:13,NEFT,Transaction
TXN0000239,1001001828,1001001054,14488,2024-08-24 01:47:29,RTGS,Transaction
TXN0000240,1001002862,1001002705,16159,2024-04-08 06:18:12,IMPS,Transaction
TXN0000241,1001001031,1001001794,848,2024-08-11 17:37:09,IMPS,Transaction
TXN0000242,1001001553,1001002494,31653,2025-08-23 21:57:45,NEFT,Transaction
TXN0000243,1001002252,1001001184,5130,2023-09-10 02:51:06,IMPS,Transaction
TXN0000244,1001001612,1001001000,6930,2024-09-09 20:39:21,UPI,Transaction
TXN0000245,1001002520,1001001078,907,2025-08-02 05:38:01,NEFT,Transaction
TXN0000246,1001002062,1001001837,1999,2025-03-20 18:18:49,UPI,Transaction
TXN0000247,1001001811,1001001468,3949,2024-03-06 10:37:46,NEFT,Transaction
TXN0000248,1001001331,1001002763,9648,2024-03-07 03:17:40,NEFT,Transaction
TXN0000249,1001001239,1001002577,767,2024-04-30 07:52:34,NEFT,Transaction
TXN0000250,1001002526,1001001452,37631,2023-12-02 11:07:03,IMPS,Transaction
TXN0000251,1001001860,1001001940,899,2024-11-28 20:39:57,UPI,Transaction
TXN0000252,1001002300,1001002759,17380,2025-08-27 09:39:56,UPI,Transaction
TXN0000253,1001002780,1001001367,4392,2023-11-18 05:53:10,NEFT,Transaction
TXN0000254,1001002848,1001002289,277,2025-07-27 06:24:24,NEFT,Transaction
TXN0000255,1001002611,1001001693,2686,2024-08-31 22:10:25,RTGS,Transaction
TXN0000256,1001001817,1001001604,538,2024-10-30 15:26:47,RTGS,Transaction
TXN0000257,1001002676,1001001530,378,2025-06-13 18:11:11,IMPS,Transaction
TXN0000258,1001002242,1001002527,538,2024-03-24 06:20:04,UPI,Transaction
TXN0000259,1001001271,1001001701,34633,2025-05-08 13:47:26,UPI,Transaction
TXN0000260,1001001123,1001001341,596,2025-07-05 10:52:53,RTGS,Transaction
TXN0000261,1001002355,1001002507,7239,2024-01-27 17:29:27,RTGS,Transaction
TXN0000262,1001001478,1001001422,462,2024-08-08 06:30:19,NEFT,Transaction
TXN0000263,1001001656,1001002755,43472,2025-06-15 00:04:52,IMPS,Transaction
TXN0000264,1001001155,1001001135,860,2025-08-01 04:42:49,UPI,Transaction
TXN0000265,1001002387,1001001711,3335,2024-03-31 13:49:21,UPI,Transaction
TXN0000266,1001001425,1001001280,14928,2025-08-06 08:01:35,IMPS,Transaction
TXN0000267,1001001526,1001002811,4604,2024-06-03 20:05:40,UPI,Transaction
TXN0000268,1001001469,1001002552,3521,2023-11-05 19:06:17,RTGS,Transaction
TXN0000269,1001002836,1001001202,6244,2024-03-17 13:21:56,IMPS,Transaction
TXN0000270,1001001270,1001002192,9901,2024-01-28 20:15:42,NEFT,Transaction
TXN0000271,1001001939,1001002074,3187,2025-04-20 23:46:27,UPI,Transaction
TXN0000272,1001002408,1001001388,793,2025-02-21 04:48:49,IMPS,Transaction
TXN0000273,1001001090,1001001525,536,2024-11-15 02:07:36,IMPS,Transaction
TXN0000274,1001002380,1001001473,997,2023-11-19 10:56:54,RTGS,Transaction
TXN0000275,1001001944,1001002134,234,2025-04-11 12:37:48,UPI,Transaction
TXN0000276,1001002539,1001002533,252,2024-01-15 02:21:29,UPI,Transaction
TXN0000277,1001002193,1001002051,9197,2024-10-31 18:08:53,IMPS,Transaction
TXN0000278,1001002564,1001002340,14909,2025-02-05 05:42:02,RTGS,Transaction
TXN0000279,1001002463,1001002260,25273,2024-09-03 14:20:29,RTGS,Transaction
TXN0000280,1001002004,1001002896,43584,2025-05-23 15:56:17,RTGS,Transaction
TXN0000281,1001001655,1001002365,330,2024-05-16 07:16:47,NEFT,Transaction
TXN0000282,1001002624,1001002684,37103,2025-03-19 01:43:49,NEFT,Transaction
TXN0000283,1001001156,1001002560,8875,2024-02-26 14:15:03,NEFT,Transaction
TXN0000284,1001001716,1001002584,861,2025-06-24 08:13:18,IMPS,Transaction
TXN0000285,1001002506,1001001030,217,2025-06-25 18:43:34,IMPS,Transaction
TXN0000286,1001002415,1001001765,8777,2023-10-20 04:57:21,IMPS,Transaction
TXN0000287,1001001131,1001002502,31281,2025-01-11 17:11:58,NEFT,Transaction
TXN0000288,1001001606,1001001106,9201,2024-05-13 17:42:35,NEFT,Transaction
TXN0000289,1001001104,1001002670,1954,2023-12-03 21:58:05,RTGS,Transaction
TXN0000290,1001001305,1001001422,481,2025-07-06 03:49:07,RTGS,Transaction
TXN0000291,1001001631,1001002432,4822,2024-03-28 22:22:21,IMPS,Transaction
TXN0000292,1001002835,1001002036,3587,2023-12-19 00:45:18,UPI,Transaction
TXN0000293,1001001265,1001002381,7201,2025-01-11 23:18:43,RTGS,Transaction
TXN0000294,1001001437,1001001783,984,2024-05-14 22:28:42,RTGS,Transaction
TXN0000295,1001002033,1001001767,9222,2025-01-22 17:47:12,NEFT,Transaction
TXN0000296,1001002447,1001002549,642,2023-11-26 00:15:46,UPI,Transaction
TXN0000297,1001001947,1001001554,846,2024-03-29 22:11:56,NEFT,Transaction
TXN0000298,1001002834,1001002163,2603,2024-07-17 00:37:23,RTGS,Transaction
TXN0000299,1001001885,1001001829,3961,2025-02-27 06:06:53,IMPS,Transaction
TXN0000300,1001002047,1001001630,2912,2024-10-28 17:52:10,IMPS,Transaction
TXN0000301,1001001471,1001001809,9486,2024-08-01 12:01:26,RTGS,Transaction
TXN0000302,1001001291,1001002060,2007,2024-03-10 16:26:00,RTGS,Transaction
TXN0000303,1001001226,1001001738,1914,2024-11-07 21:03:00,NEFT,Transaction
TXN0000304,1001002353,1001001069,911,2025-03-26 08:28:53,RTGS,Transaction
TXN0000305,1001002431,1001001846,2531,2025-03-13 19:10:58,NEFT,Transaction
TXN0000306,1001002824,1001001872,2550,2025-06-01 17:10:07,RTGS,Transaction
TXN0000307,1001002406,1001001222,3411,2025-04-22 16:14:33,RTGS,Transaction
TXN0000308,1001001678,1001002784,2221,2024-09-19 08:28:19,IMPS,Transaction
TXN0000309,1001001757,1001002634,3716,2024-06-24 03:12:40,RTGS,Transaction
TXN0000310,1001002189,1001001911,5946,2024-10-21 10:00:04,NEFT,Transaction
TXN0000311,1001002616,1001001076,639,2025-02-15 05:16:30,RTGS,Transaction
TXN0000312,1001002175,1001001471,15672,2025-08-20 11:32:20,IMPS,Transaction
TXN0000313,1001001891,1001001956,941,2025-07-11 21:05:16,UPI,Transaction
TXN0000314,1001002669,1001001218,7870,2023-12-05 15:08:29,IMPS,Transaction
TXN0000315,1001001582,1001002104,820,2025-08-01 05:31:36,RTGS,Transaction
TXN0000316,1001002164,1001002375,1940,2025-02-25 21:28:50,IMPS,Transaction
TXN0000317,1001001570,1001001157,478,2024-03-15 02:36:07,NEFT,Transaction
TXN0000318,1001002572,1001002782,2616,2024-08-13 19:21:49,NEFT,Transaction
TXN0000319,1001001223,1001001864,513,2025-06-04 09:04:43,NEFT,Transaction
TXN0000320,1001002784,1001002226,365,2025-03-21 19:18:24,UPI,Transaction
TXN0000321,1001001940,1001001217,395,2024-03-21 02:12:06,NEFT,Transaction
TXN0000322,1001001493,1001002141,1631,2024-07-28 20:15:38,UPI,Transaction
TXN0000323,1001001881,1001001531,995,2025-05-29 19:58:09,NEFT,Transaction
TXN0000324,1001002322,1001001126,7664,2024-02-20 08:07:32,IMPS,Transaction
TXN0000325,1001002871,1001001484,2080,2024-07-30 22:08:01,IMPS,Transaction
TXN0000326,1001001646,1001002107,919,2025-05-30 23:04:04,NEFT,Transaction
TXN0000327,1001001782,1001001335,610,2025-02-21 19:20:38,UPI,Transaction
TXN0000328,1001001799,1001002869,7845,2024-07-08 04:39:04,IMPS,Transaction
